name,id,principal,agent,date formed,status,type,street,city,state,zip
"JARED ZUCKERMAN LAW, LLC",1159635,JARED ZUCKERMAN,JARED LEIGH ZUCKERMAN,10/30/2014,Active,Domestic Limited Liability Company,40-21 ETTL LANE,GREENWICH,CT,6831
"JASINSKY IMMIGRATION LAW, LLC",763289,LAURA N. JASINSKY,LAURA N. JASINSKY,10/21/2003,Active,Domestic Limited Liability Company,30 OAK STREET,STAMFORD,CT,6905
"JASINSKY LAW GROUP, P.C.",999371,LAURA N. JASINSKY,LAURA N. JASINSKY,03/17/2010,Dissolved,Domestic Stock Corporation,39 SILENT GROVE NORTH,WESTPORT,CT,6880
"JASON A. KILLHEFFER, ATTORNEY AT LAW, LLC",867788,JASON A. KILLHEFFER,JASON A. KILLHEFFER,07/27/2006,Active,Domestic Limited Liability Company,47 POND VIEW CIRCLE,GUILFORD,CT,6437
"JASSETTE A. HENRY, LLC ATTORNEY AT LAW",759947,JASSETTE A. HENRY,JASSETTE A. HENRY,09/15/2003,Dissolved,Domestic Limited Liability Company,"1229 ALBANY AVE, 2ND FL",HARTFORD,CT,
"JAY CROWLEY LAW, LLC",1104261,"JOHN J. CROWLEY, III","JOHN J. CROWLEY, III",04/15/2013,Active,Domestic Limited Liability Company,1914 CENTER GROTON ROAD,LEDYARD,CT,6339
JAY H JASER ATTORNEY AT LAW LLC,1164347,JAY JASER,JAY JASER,01/16/2015,Active,Domestic Limited Liability Company,"500 BOSTON POST ROAD, 2ND FLOOR",MILFORD,CT,6460
"J BRENDAN SHARKEY, ATTORNEY AT LAW LLC",1226492,J BRENDAN SHARKEY,J BRENDAN SHARKEY,01/10/2017,Active,Domestic Limited Liability Company,79 LAUREL RIDGE TRAIL,KILLINGWORTH,CT,6419
"J. DIMAURO LAW, LLC",800429,"JOSEPH DIMAURO, JR.","JOSEPH DIMAURO, JR.",10/28/2004,Active,Domestic Limited Liability Company,72 CRYSTAL DRIVE,ROCKY HILL,CT,6067
"JEANETTE A. A. JOHNSON, P.C., ATTORNEY AT LAW",283894,,JEANETTE JOHNSON,03/19/1993,Dissolved,Domestic Stock Corporation,"ATTORNEY AT LAW, 97 EAST MAIN STREET",MERIDEN,CT,6450
"J.E. BAVER LAW GROUP, LLC",1076006,JEREMY BAVER,"BARRY & BARALL, LLC",06/22/2012,Active,Domestic Limited Liability Company,596 BROADVIEW TERRACE,HARTFORD,CT,6106
"JEFFREY E. POTTER ATTORNEY & COUNSELOR AT LAW, LLC",1131354,JEFFREY E. POTTER,JEFFREY E. POTTER,01/27/2014,Active,Domestic Limited Liability Company,177 BUTTERNUT LANE,SOUTHINGTON,CT,6489
JENNIFER E DAVIS ATTORNEY AT LAW LLC,929089,JENNIFER E. DAVIS,JENNIFER E. DAVIS,02/21/2008,Active,Domestic Limited Liability Company,"326 ALBANY TURNPIKE, SUITE A",CANTON,CT,6019
"JENNIFER E. HICKS, ATTORNEY AT LAW, LLC",1086676,JENNIFER E. HICKS,JENNIFER E. HICKS,10/19/2012,Dissolved,Domestic Limited Liability Company,17 PLEASANT ST.,DAYVILLE,CT,6241
"JENNIFER LOCKE BERKENSTOCK, ATTORNEY AT LAW, LLP",599034,,,07/31/1998,Renunciated,Domestic Limited Liability Partnership,"13 VIOLA DRIVE, PO BOX 68",EAST HAMPTON,CT,6424
"JENSEN ESTATE PLANNING & ELDER LAW, P.C.",1297970,,"BLOCK, JANNEY & SISLEY, LLC",01/31/2019,Active,Domestic Stock Corporation,,,,
"JEREMY C. TEMPLE, ATTORNEY AT LAW, LLC",923368,JEREMY C. TEMPLE,JEREMY C. TEMPLE,01/02/2008,Active,Domestic Limited Liability Company,220 MOUNT VERNON AVE.,WATERBURY,CT,6708
"JEREMY D. BOOTY, ATTORNEY AT LAW, LLC",961149,JEREMY D BOOTY,JEREMY D BOOTY,01/27/2009,Active,Domestic Limited Liability Company,18 BOXWOOD LN,NORWICH,CT,6360
"JET LAW, LLC",1024129,"DONNA TOWNSEND, JAMES E. TOWNSEND",JAMES E. TOWNSEND,12/21/2010,Active,Domestic Limited Liability Company,"140 WILLOW STREET, SUITE #4",WINSTED,CT,6098
"J. FAPPIANO LAW OFFICE, LLC",932500,JUSTIN FAPPIANO,JUSTIN F. FAPPIANO,03/24/2008,Active,Domestic Limited Liability Company,27 ELM STREET,NEW HAVEN,CT,6510
"JJS LAW, LLP",1287872,,BUSINESS FILINGS INCORPORATED,10/16/2018,Active,Foreign Limited Liability Partnership,"5777 W. CENTURY BLVDS, SUITE 1750",LOS ANGELES,CA,90045
"J. LAW ENTERPRISES, INC.",155652,,LAURENCE M. WOOD ESQ,04/24/1984,Forfeited,Domestic Stock Corporation,34 ANDERSON ROAD,TOLLAND,CT,6084
"J. MARTIN BUSINESS LAW GROUP, LLC",1006163,"JOHN J. MARTIN, JR.","JOHN J. MARTIN, JR.",05/25/2010,Active,Domestic Limited Liability Company,271 COLONIAL DRIVE,FAIRFIELD,CT,6824
J. MICHAEL LEWIS LAW OFFICES LLC,810333,J. MICHAEL LEWIS,"COLM P. BROWNE, ESQ.",02/07/2005,Active,Domestic Limited Liability Company,"ONE SOUND SHORE DRIVE, SUITE 102",GREENWICH,CT,6830
J. MOLINA IMMIGRATION LAW LLC,1297398,JAYNA VELEZ-MOLINA,"JAYNA VELEZ-MOLINA, ESQ.",01/25/2019,Active,Domestic Limited Liability Company,"1022 BOULEVARD, SUITE 201",WEST HARTFORD,CT,6119
"JOHN ANTHONY RADZIUNAS, ESQUIRE LLC ATTORNEY AND COUNSELOR AT LAW",788130,"JOHN ANTHONY RADZIUNAS, ESQUIRE","JOHN ANTHONY RADZIUNAS, ESQ.",06/16/2004,Active,Domestic Limited Liability Company,90 ESSEX STREET,NEW HAVEN,CT,6513
"JOHN D. BRENNAN III, ATTORNEY AT LAW, L.L.C.",585799,JOHN D. BRENNAN III,LINDA M. MASI,03/12/1998,Dissolved,Domestic Limited Liability Company,"59 BURNSIDE AVENUE, STE. #2",EAST HARTFORD,CT,6108
"JOHN D. DRAGAT P.C., ATTORNEY AT LAW",533462,JOHN D. DRAGAT,JOHN D. DRAGAT,03/26/1996,Dissolved,Domestic Stock Corporation,345 NORTH MAIN ST.,WEST HARTFORD,CT,6117
"JOHN J. COLELLO, ATTORNEY AT LAW, LLC",637552,JOHN J COLELLO,JOHN J. COLELLO,12/15/1999,Dissolved,Domestic Limited Liability Company,140 SILO DRIVE,ROCKY HILL,CT,6067
"JOHN J. MURPHY ATTORNEY AT LAW, LLC",803817,JOHN J. MURPHY,JOHN J. MURPHY,12/06/2004,Dissolved,Domestic Limited Liability Company,371 NORTH MAIN STREET,SUFFIELD,CT,6078
"JOHN J. PALMERI, ATTORNEY AT LAW, LLC",640920,JOHN J. PALMERI,JOHN J. PALMERI,01/19/2000,Active,Domestic Limited Liability Company,515 HIGHLAND AVE,CHESHIRE,CT,6410
"JOHN K. ATTICKS LAW OFFICE, LLC",813505,JOHN K. ATTICKS,JOHN K. ATTICKS,03/04/2005,Dissolved,Domestic Limited Liability Company,12 DEER RUN ROAD,MADISON,CT,6443
"JOHN K. WEIR LAW OFFICES, LLC",744230,JOHN K. WEIR,JOHN K. WEIR,03/28/2003,Active,Domestic Limited Liability Company,"8 SOUND SHORE DRIVE, SUITE 240",GREENWICH,CT,6836
"JOHN L. SENNING LAW OFFICES, P.C.",156645,,JOHN L. SENNING ESQ,05/16/1984,Forfeited,Domestic Stock Corporation,,,,
"JOHN M. RODIA ATTORNEY AT LAW, LLC",747795,JOHN M. RODIA,JOHN M. RODIA,05/01/2003,Active,Domestic Limited Liability Company,"2505 MAIN STREET, SUITE 226",STRATFORD,CT,6615
"JOHN R. CARUSO, ATTORNEY-AT-LAW, LLC",1051463,JOHN R. CARUSO,JOHN R. CARUSO,10/18/2011,Active,Domestic Limited Liability Company,"993 FARMINGTON AVENUE, 2ND FLOOR, 38 KINGSBRIDGE",WEST HARTFORD,CT,6107
"JOHN SCOTT SCHERBAN, ATTORNEY AND COUNSELOR AT LAW LLC",869450,JOHN SCOTT SCHERBAN,JOHN SCOTT SCHERBAN,08/14/2006,Active,Domestic Limited Liability Company,30 MILESTONE LANE,MADISON,CT,6443
"JOHNSON & MACK, P.C. ATTORNEYS AT LAW",257856,,JEANETTE A. A. JOHNSON,02/28/1991,Forfeited,Domestic Stock Corporation,29 W MAIN ST SUITE 201,MERIDEN,CT,6450
"JONATHAN LAW SPORTS ASSOCIATION, INC. THE",219661,"JOESEPH J. PELOSO, JOHN P. FOWLER",AGNES BEDELL,06/17/1988,Active,Domestic Non-Stock Corporation,20 LANSDALE AVE,MILFORD,CT,6460
"JOSE L. DELCASTILLO ATTORNEY AT LAW, LLC",675356,JOSE L. DELCASTILLO,JOSE L. DELCASTILLO,03/02/2001,Active,Domestic Limited Liability Company,"255 MAIN STREET SUITE 2, SUITE 2, SUITE 2",HARTFORD,CT,6106
JOSEPH VISONE ATTORNEY AT LAW L.L.C.,657370,JOSEPH VISONE,BILL L. BARRETT,07/25/2000,Active,Domestic Limited Liability Company,"41 MISCOE ROAD, 41 MISCOE ROAD",MENDON,MA,1756
"JOYCE H. YOUNG ATTORNEY AT LAW, LLC",974221,JOYCE H. YOUNG,JOYCE H. YOUNG,06/09/2009,Dissolved,Domestic Limited Liability Company,35 HIGHVIEW AVENUE,OLD GREENWICH,CT,6870
"JOYCE MICHAELS ELWELL ATTORNEY AT LAW, LLC",863586,JOYCE MICHAELS ELWELL,LAWRENCE E. MICHAELS,06/16/2006,Active,Domestic Limited Liability Company,22 LAFAYETTE STREET,MILFORD,CT,6460
JUDIE MARSHALL LAW LLC,1298002,JUDIE MARSHALL,JUDIE MARSHALL,01/31/2019,Active,Domestic Limited Liability Company,111 SHELDON ROAD #658,MANCHESTER,CT,6045
"JUDITH A. BUSCH AND AMY B. LEVY, ATTORNEYS AT LAW, LLC",510342,,AMY B. LEVY,01/13/1995,Dissolved,Domestic Limited Liability Company,1068 WEST MAIN STREET,WATERBURY,CT,6708
JUDITH L. FALARO ATTORNEY AT LAW LLC,822901,JUDITH L. FALARO,KAREN A. DELVECCHIO,05/25/2005,Active,Domestic Limited Liability Company,98 MILLBROOK RD,NORTH HAVEN,CT,6473
"JUDY GEDGE, ATTORNEY AT LAW, LLC",844056,JUDY GEDGE,JUDY GEDGE,01/04/2006,Dissolved,Domestic Limited Liability Company,22 WILLARD STREET,SIMSBURY,CT,6070
"JUDY GEDGE, ATTORNEY AT LAW, PC",663477,JUDY GEDGE,JUDY GEDGE,10/13/2000,Dissolved,Domestic Stock Corporation,"1001 FARMINGTON AVE, STE 300",WEST HARTFORD,CT,
"JULIET M. NOLTA, ATTORNEY AT LAW, LLC",791742,JULIET M. NOLTA,JULIET M. NOLTA,07/26/2004,Dissolved,Domestic Limited Liability Company,55 CORPORATE DRIVE,TRUMBULL,CT,6611
"JUSTESEN DISABLITY LAW, LLC",1011027,WANDA JUSTESEN,KAREN HART,07/26/2010,Dissolved,Domestic Limited Liability Company,999 ASYLUM AVE,HARTFORD,CT,6105
"JUVENILE LAW CENTER OF CONNECTICUT, P.C.",148274,,MARK V. OPPENHEIMER ESQ,10/12/1983,Forfeited,Domestic Non-Stock Corporation,"MARK V. OPPENHEIMER, 50 MAIN ST",NEWTOWN,CT,6470
"J. VANCE HANCOCK LAW OFFICES, LLC",825987,J. VANCE HANCOCK,J. VANCE HANCOCK,06/24/2005,Active,Domestic Limited Liability Company,1261 POST ROAD,FAIRFIELD,CT,6824
"KAINE LAW, LLC",1005215,ANTOINETTE R. KAINE,ANTOINETTE R. KAINE,05/19/2010,Active,Domestic Limited Liability Company,166 HOLMES STREET,STRATFORD,CT,6615
"KAM LAW GROUP, LLC",997976,JONATHAN KAMISAR,JONATHAN KAMISAR,03/08/2010,Active,Domestic Limited Liability Company,"57 DANBURY ROAD, SUITE 204",WILTON,CT,6897
"KAMMERDEINER LAW, LLC",1067605,ZACHARY A. KAMMERDEINER,ZACHARY ALAN KAMMERDEINER,04/04/2012,Active,Domestic Limited Liability Company,183 NORTH CONDOR DRIVE,ROCKY HILL,CT,6067
"KAREN ANDREWS LAW, LLC",1273451,KAREN ANDREWS,KAREN ANDREWS,05/16/2018,Active,Domestic Limited Liability Company,7 OAK LANE,OLD GREENWICH,CT,6870
"KAREN B. RANDALL, ATTORNEY AT LAW, L.L.C.",1095200,KAREN B. RANDALL,KAREN BRIGICH RANDALL,01/15/2013,Active,Domestic Limited Liability Company,28 LILY POND LANE,HARWINTON,CT,6791
"KAREN H. KIM LAW FIRM, LLC",1183096,KAREN H. KIM,KAREN H. KIM,08/10/2015,Active,Foreign Limited Liability Company,"8 WRIGHT STREET, 1ST FLOOR",WESTPORT,CT,6880
"KAREN PERRY AT LAW, LLC",1282689,KAREN PERRY,KAREN PERRY,08/21/2018,Active,Domestic Limited Liability Company,255 ROUTE 80,KILLINGWORTH,CT,6419
KARR PANTALEO LAW LLC,1326098,JENNIFER KARR,JENNIFER KARR,10/30/2019,Active,Domestic Limited Liability Company,27 LAUREL STREET,SOUTH WINDSOR,CT,6074
"KATHARINE B. SACKS, ATTORNEY AT LAW, LLC",691955,KATHARINE B. SACKS,KATHARINE B. SACKS,09/26/2001,Active,Domestic Limited Liability Company,165 BISHOP STREET,NEW HAVEN,CT,6511
KATHERINE E. CAULFIELD ATTORNEY AT LAW LLC,1163760,KATHERINE E. CAULFIELD,KATHERINE E. CAULFIELD,01/12/2015,Active,Domestic Limited Liability Company,2425 POST ROAD,SOUTHPORT,CT,6890
"KAVANAGH LAW, LLC",1312260,JAMES KAVANAGH,ERIC GRAYSON,06/11/2019,Dissolved,Domestic Limited Liability Company,175 WEST PUTNAM AVENUE,GREENWICH,CT,6830
"KB LAW, LLC",1194107,KENNETH J KRAYESKE,KENNETH JAMES KRAYESKE,01/04/2016,Active,Domestic Limited Liability Company,"255 MAIN STREET, 5TH FLOOR",HARTFORD,CT,6106
"KEENAN LAW, LLC",869452,MICHAEL J. KEENAN,MICHAEL J. KEENAN,08/14/2006,Active,Domestic Limited Liability Company,787 MAIN STREET,SOUTH GLASTONBURY,CT,6073
KEITH D. ROBBINS - ATTORNEY-AT-LAW LLC,673646,KEITH D. ROBBINS,KEITH D. ROBBINS,02/09/2001,Dissolved,Domestic Limited Liability Company,7 LORDSHIP ROAD,EAST GRANBY,CT,6026
"KELSEY LAW, LLC",991195,SANDRA L. KELSEY,SANDRA L. KELSEY,12/18/2009,Active,Domestic Limited Liability Company,2275 SILAS DEANE HIGHWAY,ROCKY HILL,CT,6067
"KENDY LAW, LLC",1111976,"JOSEPH S. KENDY, JR.","UNITED STATES CORPORATION AGENTS, INC.",07/05/2013,Active,Domestic Limited Liability Company,83 WEED AVENUE,NORWALK,CT,6850
"KENNETH BARBER ATTORNEY AT LAW, LLC",749406,KENNETH BARBER,KENNETH BARBER,05/21/2003,Dissolved,Domestic Limited Liability Company,95 MAIN ST,EAST HAMPTON,CT,6424
"KENNETH B. LERMAN, LLC ATTORNEY AT LAW",622662,KENNETH B. LERMAN,KENNETH B. LERMAN,06/04/1999,Dissolved,Domestic Limited Liability Company,651 DAY HILL ROAD,WINDSOR,CT,6095
"KERIN LAW OFFICES, P.C.",936779,MICHAEL R. KERIN,MICHAEL R. KERIN,05/01/2008,Active,Domestic Stock Corporation,120 BROAD STREET,MILFORD,CT,6460
"KERRIGAN LAW FIRM, LLC",1177295,"DANIEL J. KERRIGAN, JR.",JAMES P. O'REILLY,05/19/2015,Active,Domestic Limited Liability Company,"7-9 ISSAC STREET, C/O SBMA",NORWALK,CT,6852
KEVIN T. DUFFY JR. ATTORNEYS AT LAW LLC,963554,KEVIN T DUFFY JR.,KEVIN T. DUFFY JR.,02/19/2009,Active,Domestic Limited Liability Company,165 WEST PUTNAM AVENUE,GREENWICH,CT,6830
"KEVIN WICKLESS LAW, LLC",1134680,KEVIN D. WICKLESS,KEVIN D. WICKLESS,02/21/2014,Active,Domestic Limited Liability Company,114 MAIN STREET,NORWICH,CT,6360
"KGM LAW, PLLC",1316793,KOMLA MATREVI,"NORTHWEST REGISTERED AGENT, LLC",07/30/2019,Dissolved,Domestic Limited Liability Company,2389 MAIN ST. STE 100,GLASTONBURY,CT,6033
KHAN LAW LLC,1198705,AHSAN KHAN,AHSAN SAJJAD KHAN,02/16/2016,Active,Domestic Limited Liability Company,246 SCANTIC RD.,EAST WINDSOR,CT,6088
"KIER LAW, PLLC",1312939,SHELLEY KIER,SHELLEY KIER,06/19/2019,Active,Domestic Limited Liability Company,44 HAMPTON CLOSE,ORANGE,CT,6477
"KIMBERLY A. GRAHAM, ATTORNEY AT LAW, L.L.C.",560378,KIMBERLY A. GRAHAM,KIMBERLY A. GRAHAM,04/11/1997,Active,Domestic Limited Liability Company,"28 NORTH MAIN ST, SUITE G-2, SUITE G-2",WEST HARTFORD,CT,6107
"KINSELLA LAW GROUP, LLC",1168907,NANCY L. KINSELLA,CARMODY TORRANCE SANDAK & HENNESSEY LLP,02/23/2015,Dissolved,Domestic Limited Liability Company,28 THE GREEN,WATERTOWN,CT,6795
"KIRKLAND LAW GROUP,LLC",1117317,JOHN A. JACOBSON,"NATIONAL REGISTERED AGENTS, INC.",08/26/2013,Active,Foreign Limited Liability Company,"18000 72ND AVE S, SUITE 200",KENT,WA,98032
"KIRSCHBAUM LAW GROUP, LLC",1085032,DAMON A R KIRSCHBAUM,DAMON A.R. KIRSCHBAUM,10/02/2012,Active,Domestic Limited Liability Company,"433 SOUTH MAIN STREET, SUITE 101",WEST HARTFORD,CT,6110
"KITO LAW, LLC",1029614,BERNARD KITO,"BERNARD J. KITO, III",02/24/2011,Active,Domestic Limited Liability Company,403 WOODHOUSE AVE,WALLINGFORD,CT,6492
"KLAWITER LAW, LLC",1233156,MAREN KLAWITER,MAREN KLAWITER,02/28/2017,Active,Domestic Limited Liability Company,3 SCHOOL HOUSE LANE,QUAKER HILL,CT,6375
"KLEMONSKI & ROSE LAW OFFICES, LLC",1157695,DEBORAH M. ROSE,ATTY. DEBORAH M. ROSE,10/09/2014,Active,Domestic Limited Liability Company,"67 PROSPECT AVE, STE 302",HARTFORD,CT,6106
"KLINGMAN LAW, LLC",1059366,PATRICK A. KLINGMAN,PATRICK A. KLINGMAN,01/18/2012,Active,Domestic Limited Liability Company,"280 TRUMBULL STREET, FLOOR 21",HARTFORD,CT,6103
KMK LAW LLC,1332265,KATHLEEN MURREN-KOETHER,KATHLEEN MURREN-KOETHER,01/06/2020,Active,Domestic Limited Liability Company,1599 POST ROAD EAST,WESTPORT,CT,6880
"KNOBELSDORFF LAW OFFICE, L.L.C.",847775,KERRY E. KNOBELSORFF-MCKAY,KERRY E KNOBELSDORFF-MCKAY,01/31/2006,Active,Domestic Limited Liability Company,"1-9 NORTH MEADOW RD, PO BOX 809",OLD SAYBROOK,CT,6475
"KNOPF LAW, LLC",1148628,"FRED N. KNOPF, LISA KNOPF",LISA A. KNOPF,07/07/2014,Active,Domestic Limited Liability Company,"3333 MAIN  STREET, SUITE 1",STRATOFRD,CT,6614
"KOLECI LAW FIRM, LLC",968759,FATOS KOLECI,FATOS KOLECI,04/13/2009,Active,Domestic Limited Liability Company,"1000 BRIDGEPORT AVE., STE 401",SHELTON,CT,6484
KOM LAW LLC,1209759,KWABENA O. MENSAH,KWABENA O. MENSAH,06/29/2016,Active,Domestic Limited Liability Company,1177 HIGH RIDGE ROAD,STAMFORD,CT,6905
"KOSBERG LAW OFFICES, LLC",1273136,ALAN H KOSBERG,ALAN H KOSBERG,05/10/2018,Active,Domestic Limited Liability Company,61 MIDDLEBROOK ROAD,WEST HARTFORD,CT,6119
"KOZLOWSKI LAW FIRM, LLC",1180501,DAVID J. KOZLOWSKI,DAVID J. KOZLOWSKI,07/06/2015,Active,Foreign Limited Liability Company,59 BUCKINGHAM DRIVE,STAMFORD,CT,6902
"KP LAW, LLC",1193303,KURTIS Z. PIANTEK,KURTIS Z. PIANTEK,12/15/2015,Dissolved,Domestic Limited Liability Company,"106 BURBAN DRIVE, UNIT B",BRANFORD,CT,6405
"KRETSCHMAN LAW OFFICE, LLC",875952,BRENDA L. KRETCHMAN,SECRETARY OF THE STATE,10/16/2006,Active,Foreign Limited Liability Company,5100 TRANSIT RD,DEPEW,NY,14043
"KRISS LAW, LLC",1036950,SCOTT D. KRISS,SECRETARY OF THE STATE OF CONNECTICUT,05/04/2011,Active,Foreign Limited Liability Company,15 CRAWFORD STREET,NEEDHAM,MA,2494
"KRISTINA L. VALDEGAS, ATTORNEY AT LAW LLC",778465,KRISTINA L VALDEGAS,KRISTINA L VALDEGAS,03/15/2004,Dissolved,Domestic Limited Liability Company,"880 NORTH AVE, STE 3",BRIDGEPORT,CT,
"KROEGER LAW, LLC",1077562,HENRY J. KROEGER III,CHRISTINE D. WAGNER,07/12/2012,Dissolved,Domestic Limited Liability Company,531 MAIN ST 2ND FLR,EAST HARTFORD,CT,6108
KRUTICK CRAIG LAW LLC,959368,JOYCE KRUTICK CRAIG,JOYCE KRUTICK CRAIG,01/08/2009,Dissolved,Domestic Limited Liability Company,"100 PEARL ST., 14TH FL.",HARTFORD,CT,6103
"KRUZYNSKI LAW OFFICE, LLC",905405,PETER G. KRUZYNSKI,PETER G. KRUZYNSKI,07/09/2007,Dissolved,Domestic Limited Liability Company,"476 HOWE AVENUE, SUITE ONE",SHELTON,CT,6484
"KURITZ IP & ENTERTAINMENT LAW FIRM, LLC",1091680,ETHAN PAUL KURITZ,ETHAN PAUL KURITZ,12/14/2012,Dissolved,Domestic Limited Liability Company,30 AVON MEADOW LANE,AVON,CT,6001
"KURT JOHN COMISKY, ATTORNEY AT LAW, LLC",1177444,KURT JOHN COMISKY,KURT JOHN COMISKY,06/22/2015,Active,Domestic Limited Liability Company,62 WOPOWOG ROAD,EAST HAMPTON,CT,6424
KUTZ LAW OFFICE LLC,1083731,"RONALD W. KUTZ, ESQ.","RONALD W. KUTZ, ESQ.",09/18/2012,Active,Domestic Limited Liability Company,262 MARLBOROUGH STREET,PORTLAND,CT,6480
"LABOR LAW POSTER SERVICE, LLC",1301954,"JOSEPH FATA, JUSTIN FATA, THOMAS FATA",BUSINESS FILINGS INCORPORATED,03/08/2019,Active,Foreign Limited Liability Company,"6323 WEST SAGINAW HIGHWAY, SUITE E",LANSING,MI,48917
"LABRITZ LAW OFFICE, LLC",976303,KELLY J. LABRITZ,KELLY JO LABRITZ,06/30/2009,Dissolved,Domestic Limited Liability Company,134 SLEEPY HOLLOW RD.,RIDGEFIELD,CT,6877
"LAFFERTY LAW FIRM, P.C.",970894,"KEVIN LAFFERTY, STACEY D. LAFFERTY",STACEY D. LAFFERTY,04/30/2009,Dissolved,Domestic Stock Corporation,"126 BRADLEY ROAD, SUITE 3",MADISON,CT,6443
"LAFOUNTAIN IMMIGRATION LAW, LLC",1227993,MEGHANN E LAFOUNTAIN,MEGHANN E. LAFOUNTAIN,01/23/2017,Active,Domestic Limited Liability Company,"100 RIVERVIEW CENTER, SUITE 280",MIDDLETOWN,CT,6457
"L.A. LAW, LLC",1176946,LAWYER A. TWILLIE,"LAWYER A. TWILLIE II, ESQ.",05/13/2015,Active,Domestic Limited Liability Company,650 FARMINGTON AVE,HARTFORD,CT,6105
"LALIBERTE LAW, LLC",1300095,JANIS M. LALIBERTE,JANIS MARIE LALIBERTE,04/17/2019,Active,Domestic Limited Liability Company,37 BRIDGEPORT AVENUE,MILFORD,CT,6460
LANDBACK LAW LLC,1196941,SALLY O'HARA LANDBACK,SALLY O'HARA LANDBACK,02/08/2016,Active,Domestic Limited Liability Company,"64 THOMPSON STREET,, SUITE B101",EAST HAVEN,CT,6513
"LATIN AMERICAN LAW CENTER, LLC",1190200,GERALD R NOWOTNY,GERALD R NOWOTNY,11/09/2015,Active,Domestic Limited Liability Company,266 LOVELY ST,AVON,CT,6001
"LATTARULO LAW FIRM, LLC",837585,DONNA M. LATTARULO,LISA VENTO GUSTAFSON,10/19/2005,Active,Domestic Limited Liability Company,304 MAIN AVENUE #329,NORWALK,CT,6851
"LAVIANO LAW OFFICES, LLC",631851,,"STUART B. RATNER, ESQ.",10/04/1999,Active,Domestic Limited Liability Company,632 DANBURY RD.,RIDGEFIELD,CT,6877
"LAVIANO LAW OFFICES, P.C. THE",300071,"DONNA L. RUHLING LAVIANO, WILLIAM M. LAVIANO",AARON B SCHLESS,07/12/1994,Forfeited,Domestic Stock Corporation,90 GROVE STREET,RIDGEFIELD,CT,6877
"LAVIGNE LAW, LLC",1254348,GARY D. LAVIGNE,GARY D. LAVIGNE,10/31/2017,Active,Domestic Limited Liability Company,"945 MAIN STREET, SUITE 208",MANCHESTER,CT,6040
"LAW 203, INC.",1318402,CHRISTOPHER DEMATTEO,REGISTERED AGENTS INC.,10/07/2019,Active,Domestic Stock Corporation,203 CAMPBELL AVE.,WEST HAVEN,CT,6516
LAW AND BUSINESS PUBLICATIONS INC.,90692,,JEROME M. GRINER ESQ,03/26/1979,Forfeited,Domestic Stock Corporation,"JEROME M. GRINER ESQ, 47 NORTH MAIN ST",WEST HARTFORD,CT,6107
"LAW BARN FLORIDA, LIMITED LIABILITY COMPANY",796153,WILLIAM A. SNIDER,MARK LACZEWSKI,09/10/2004,Dissolved,Domestic Limited Liability Company,137 MAIN STREET,WETHERSFIELD,CT,6109
LAW BUSINESS MEDIA LLC,1152999,"JOSEPH F. CALVE, JR., KRISTIN CALVE","RUCCI LAW GROUP, LLC",08/27/2014,Active,Domestic Limited Liability Company,104 OLD KINGS HIGHWAY NORTH,DARIEN,CT,6820
"LAW CENTRE, CHARLOTTE CROMAN, P.C.",560348,CHARLOTTE CROMAN,CHARLOTTE CROMAN,04/14/1997,Active,Foreign Stock Corporation,14 WASHINGTON PLACE,NEW YORK,NY,10003
"LAW COMPANIES GROUP, INC.",27432,,SECRETARY OF THE STATE,01/20/1969,Withdrawn,Foreign Stock Corporation,1000 ABERNATHY RD,ATLANTA,GA,30328
"LAW COMPANY, INC. THE",280503,"DENNIS W. KERSCHEN, MARC A. PORTER, RICHARD M. KERSCHEN, SHAWN A SMARSH","NATIONAL REGISTERED AGENTS, INC.",12/17/1992,Active,Foreign Stock Corporation,345 RIVERVIEW,WICHITA,KS,67203
"LAW CONSTRUCTION, INC.",269979,"KENNETH WILSON, LINDA ALEXANDER WILSON",WILLIAM C. LEARY,01/28/1992,Dissolved,Domestic Stock Corporation,92 PROSPECT AVENUE,HARTFORD,CT,6106
"LAW CONSTRUCTION, LLC",1240479,PERRY LAW,"ZELDES, NEEDLE & COOPER, A PROFESSIONAL CORPORATION",05/31/2017,Active,Domestic Limited Liability Company,3 KRYSTALLE LANE,OXFORD,CT,6478
"LAW CONSTRUCTION SPECIALTIES, INC.",532072,,KENNETH J. POCIUS,03/08/1996,Dissolved,Domestic Stock Corporation,,,,
"LAW CONTRACTORS, LLC",610718,LINDA A WILSON,LINDA WILSON,01/06/1999,Active,Domestic Limited Liability Company,77 MOHAWK DRIVE,WEST HARTFORD,CT,6117
LAW CYPRESS DISTRIBUTING COMPANY,589680,"CHARLES TOWNSDIN, DAVID LAW, FRANK LAWSON, MARY LAW, NICHOLAS C. WHITE, RICHARD CONNIFF",SECRETARY OF THE STATE,04/20/1998,Revoked,Foreign Stock Corporation,5883 EDEN PARK PLACE,SAN JOSE,CA,95138
"LAW DOGS LAW ENFORCEMENT MOTORCYCLE CLUB, CONNECTICUT CHAPTER 2, INC",1031105,,BRUCE LOVALLO,03/09/2011,Dissolved,Domestic Non-Stock Corporation,,,,
